inspection_id,name,address,results,last_inspection_date,risk,lat,long,yelp_id,yelp_name,yelp_address,yelp_rating,yelp_is_closed,yelp_review_count,yelp_category
414198,La Cocina De Mama Nenas,2022 W 35th St,Pass,2012-06-14,Risk 1 (High),41.83048987,-87.67620688,la-cocina-de-mama-nenas-chicago,La Cocina De Mama Nena's,2022 W 35th St,3.0,False,1,Mexican
327247,White Castle,3212 W Addison St,Pass,2012-03-07,Risk 2 (Medium),41.94673627,-87.70842598,white-castle-chicago-7,White Castle,3212 W Addison St,3.5,False,100,Burgers
114350,Mart Plaza Catering Corp,350 N Orleans St,Fail,2012-06-20,Risk 1 (High),41.88874104,-87.63708054,joong-boo-market-chicago-2,Joong Boo Market,3333 N Kimball Ave,4.0,False,197,Ethnic Food
612569,Ruth's Chris Steak House,431 N Dearborn St,Pass,2011-11-18,Risk 1 (High),41.89008217,-87.62946153,ruths-chris-steak-house-chicago,Ruth's Chris Steak House,431 N Dearborn St,4.0,False,343,Steakhouses
150240,D'gigio's Pizzeria,5337 W Belmont Ave,Fail,2011-03-17,Risk 1 (High),41.93853943,-87.7606308,d-gigios-pizzeria-chicago,D'gigio's Pizzeria,5337 W Belmont Ave,3.0,False,16,Pizza
229387,Alonti Deli Catering Kitchen,300 S Riverside Plz,Pass,2011-09-06,Risk 1 (High),41.87797514,-87.63842217,alonti-cafe-chicago-6,Alonti Cafe,177 W Washington St,3.5,False,43,Fast Food
67814,Embassy Suites Hotel,511 N Columbus Dr,Pass,2012-03-06,Risk 1 (High),41.89140488,-87.62008123,embassy-suites-hotel-chicago,Embassy Suites Hotel,600 N State St.,3.5,False,38,Hotels
343230,Siam Rice Thai Cuisine,117 N Wells St,Pass w/ Conditions,2012-01-09,Risk 1 (High),41.88366157,-87.6337233,siam-rice-chicago,Siam Rice,117 N Wells St,3.5,False,260,Thai
150309,7 Mares,4010-4012 W Montrose Ave,Pass w/ Conditions,2011-03-23,Risk 1 (High),41.96105046,-87.72830969,mariscos-7-mares-blue-island,Mariscos 7 Mares,13308 Olde Western Ave,3.0,False,2,Bars
491406,Lilly Bell's Dinner,456 N Damen Ave,Pass,2011-01-27,Risk 1 (High),41.89037478,-87.67704268,the-smoke-daddy-chicago,The Smoke Daddy,1804 W Division St,3.5,False,587,Barbeque
238222,Five Loaves Eatery Too,405 E 75th St,Pass,2011-07-21,Risk 1 (High),41.7583019,-87.61490561,five-loaves-eatery-chicago,Five Loaves Eatery,405 E 75th Street,4.5,False,6,Sandwiches
363421,Jb Hunt Cafeteria,3650 W 47th St,Pass,2011-12-06,Risk 1 (High),41.8080811,-87.7157634,joong-boo-market-chicago-2,Joong Boo Market,3333 N Kimball Ave,4.0,False,197,Ethnic Food
413691,Seashell Fish & Chicken,7131 S Jeffery Blvd K-2,Pass w/ Conditions,2010-09-20,Risk 2 (Medium),41.76518952,-87.5761331,seashell-restuarant-chicago-2,Seashell Restuarant,7131 S Jeffery Blvd,3.5,False,3,Fish & Chips
381294,La Scarola,721 W Grand Ave,Pass w/ Conditions,2012-06-14,Risk 1 (High),41.89108321,-87.64691989,la-scarola-chicago,La Scarola,721 W Grand Ave,4.0,False,512,Italian
381370,Dos Diablos,15 W Hubbard St,Pass w/ Conditions,2011-05-02,Risk 1 (High),41.8899462,-87.62858931,dos-diablos-mexican-cantina-chicago,Dos Diablos Mexican Cantina,15 W Hubbard St,3.0,False,193,Mexican
120634,Potbelly,1459 W Taylor St,Pass,2012-01-20,Risk 1 (High),41.8691916,-87.66401334,potbelly-sandwich-works-chicago-15,Potbelly Sandwich Works,1459 W Taylor St,3.5,False,15,Sandwiches
60521,White Castle,3901 W Madison St,Pass w/ Conditions,2012-05-07,Risk 2 (Medium),41.88064565,-87.72337094,white-castle-cicero,White Castle,2333 S Cicero Ave,3.0,False,6,Fast Food
413557,Subway,4070 N Milwaukee Ave,Pass,2011-03-02,Risk 1 (High),41.954759,-87.74956739,subway-chicago-62,Subway,4070 N Milwaukee Avenue,5.0,False,1,NULL
401227,The Buckingham Athletic Club,440 S La Salle St,Pass w/ Conditions,2011-09-23,Risk 1 (High),41.87588847,-87.63188472,the-buckingham-athletic-club-hotel-chicago,The Buckingham Athletic Club Hotel,One Financial Place,4.0,False,4,Gyms
491834,Jamaica Jerk Villa,8 E Cermak Ave,Pass w/ Conditions,2011-02-16,Risk 1 (High),41.85295002,-87.62673497,jamaica-jerk-villa-chicago,Jamaica Jerk Villa,8 E 22nd St,4.5,False,7,Caribbean
660102,Franks 'N' Dawgs,1863 N Clybourn Ave,Pass w/ Conditions,2012-01-20,Risk 1 (High),41.91498953,-87.65499361,franks-n-dawgs-chicago,Franks 'N' Dawgs,1863 N Clybourn Ave,4.0,False,404,American (New)
357214,Bella Notte,1374 W Grand Ave,Pass,2012-06-06,Risk 1 (High),41.89114149,-87.66195668,bella-notte-restaurant-chicago,Bella Notte Restaurant,1374 W Grand Ave,4.0,False,153,Italian
154585,Macku,2239 N Clybourn Ave,Fail,2010-10-21,Risk 1 (High),41.92244497,-87.66534127,macku-sushi-chicago,Macku Sushi,2239 N Clybourn Ave,4.0,False,206,Sushi Bars
521930,Resto Pinoy,3536 W Lawrence Ave,Pass,2011-12-08,Risk 1 (High),41.96847046,-87.71733141,resto-pinoy-fine-filipino-cuisine-chicago,Resto Pinoy - Fine Filipino Cuisine,3536 W Lawrence Ave,4.0,False,9,Filipino
233396,Mrs Murphys And Sons Irish Bistro,3905 N Lincoln Ave,Pass,2012-04-05,Risk 1 (High),41.95255855,-87.67747503,mrs-murphy-and-sons-irish-bistro-chicago,Mrs Murphy and Sons Irish Bistro,3905 N Lincoln Ave,4.0,False,244,Irish
543454,Subway,6044 S Western Ave,Pass,2011-06-22,Risk 2 (Medium),41.7833958,-87.68390217,subway-chicago-176,Subway,4316 S Ashland Ave,4.5,False,2,Sandwiches
176710,Jitlada Thai House Restaurant,3715-3717 N Halsted St,Fail,2010-03-17,Risk 1 (High),41.94955706,-87.6494093,jitlada-restaurant-chicago,Jitlada Restaurant,3715 N Halsted St,3.5,False,141,Thai
419569,Little Caesar's Pizza,4445 N Pulaski Rd,Fail,2011-03-28,Risk 2 (Medium),41.96223481,-87.72771372,little-caesars-pizza-treat-chicago-2,Little Caesar's Pizza Treat,3135 W Addison St,3.0,False,17,Pizza
680011,Einstein Bros,933 W Diversey Pkwy,Pass,2012-04-17,Risk 2 (Medium),41.93254842,-87.65269759,einstein-bros-bagels-chicago-2,Einstein Bros Bagels,933 W Diversey Pkwy,3.0,False,22,NULL
114847,Pret A Manger,211 W Adams St,Pass,2011-11-15,Risk 1 (High),41.87927284,-87.6341032,pret-a-manger-chicago,Pret A Manger,211 W Adams St,4.0,False,108,Fast Food
168217,Subway,116 W 111th St,Pass,2012-01-06,Risk 1 (High),41.692653,-87.62653717,subway-chicago-144,Subway,116 W 111th,3.0,False,1,Sandwiches
664314,Rub Bbq Company,2407 W Lunt Ave,Pass w/ Conditions,2012-01-04,Risk 1 (High),42.00853954,-87.69050051,rub-bbq-company-chicago,Rub BBQ Company,2407 W Lunt Ave,4.0,False,97,Barbeque
327213,Wing Chong Restaurant,4077 N Elston Ave,Pass,2010-07-21,Risk 1 (High),41.95528789,-87.7212583,wing-chong-restaurant-chicago,Wing Chong Restaurant,4077 N Elston Ave,4.0,False,24,Chinese
335235,New Little China,1737 E 95th St,Pass,2012-04-04,Risk 1 (High),41.72228503,-87.58107167,wings-around-the-world-chicago,Wings Around the World,510 E 75th St,4.5,False,76,Chicken Wings
347278,Pizza-vending Kitchen S-120,1901 W Madison St,Pass,2011-11-29,Risk 2 (Medium),41.88124146,-87.67428253,bismark-enterprises-at-united-center-chicago,Bismark Enterprises At United Center,1901 W Madison Street,4.0,False,2,Caterers
583247,Parkside Cafe,308 W 33rd St,Fail,2011-05-19,Risk 2 (Medium),41.83466629,-87.63441435,parkside-cafe-chicago,Parkside Cafe,308 W 33rd Street,5.0,False,1,Restaurants
250295,Dunkin Donuts / Baskin Robbins,5000 W Irving Park Rd,Pass,2011-08-03,Risk 2 (Medium),41.95346817,-87.75230593,dunkin-donuts-baskin-robbins-chicago-17,Dunkin' Donuts Baskin Robbins,5000 W Irving Park Rd,2.5,False,7,Donuts
197307,Panda Express,29 E Madison St,Pass,2012-02-21,Risk 1 (High),41.88196533,-87.62679322,panda-express-chicago-11,Panda Express,29 E Madison St,3.0,False,6,Chinese
413544,Gilhooley's Grande Saloon,3901 W 103rd St,Pass,2011-09-22,Risk 1 (High),41.70582355,-87.71853995,gilhooleys-grand-saloon-chicago,Gilhooley's Grand Saloon,3901 W 103rd St,2.5,False,13,Pubs
